11813|276.81152 +19.93862           | 0.1|CGCG 114-007                  |18h27m14.77s|+19d56m19.0s|G     |  0.039998|Sy 1                                    
11959|329.09277 +7.36671            | 0.5|MRK 0516                      |21h56m22.26s|+07d22m00.6s|G     |  0.028416|Sy 1.8                                  
12245|260.84668 +36.50281           | 0.1|2MASX J17232321+3630097       |17h23m23.21s|+36d30m10.2s|G     |  0.040000|Sy 1.5                                  
12270|35.05714 +8.20545             | 0.1|MRK 1400                      |02h20m13.71s|+08d12m19.5s|G     |  0.029287|Sy 1.0                                  
13103|14.97205 +31.82700            | 0.4|MRK 0352                      |00h59m53.28s|+31d49m36.9s|G     |  0.014864|Sy 1.0                                  
13161|239.26437 +63.84083           | 0.0|CGCG 319-034                  |15h57m03.45s|+63d50m27.0s|G     |  0.030097|Sy 1                                    
13278|359.00809 +7.52316            | 0.4|MRK 0541                      |23h56m01.96s|+07d31m23.5s|G     |  0.039427|Sy 1.0                                  
13536|335.93756 +11.83579           | 0.1|MCG +02-57-002                |22h23m45.02s|+11d50m09.0s|G     |  0.029000|Sy 1.5                                  
13733|75.53770 +3.53055             | 0.0|2MASX J05020903+0331499       |05h02m09.05s|+03d31m50.0s|G     |  0.015990|Sy 1                                    
13743|264.22226 +68.17149           | 0.1|NGC 6423                      |17h36m53.33s|+68d10m17.3s|G     |  0.024200|Sy 1.5                                  
13977|247.47023 +24.44384           | 0.7|VV 807                        |16h29m52.89s|+24d26m38.4s|G     |  0.037496|Sy 1.9                                  
14074|190.65038 +78.12236           | 0.3|2MASX J12423600+7807203       |12h42m36.03s|+78d07m20.3s|G     |  0.022100|Sy 1.9                                  
14131|144.82191 +36.56229           | 0.3|CGCG 181-077                  |09h39m17.26s|+36d33m43.9s|G     |  0.020057|Sy 1.5                                  
14599|222.65767 +22.73429           | 0.2|MRK 1388                      |14h50m37.85s|+22d44m03.6s|G     |  0.021300|Sy 1.9                                  
14840|230.38737 +39.20075           | 0.1|UGC 09826                     |15h21m32.98s|+39d12m02.7s|G     |  0.029437|Sy 1.5                                  
14875|45.03345 +16.50406            | 0.5|2MASX J03000803+1630149       |03h00m08.00s|+16d30m14.3s|G     |  0.035000|Sy 1                                    
15032|286.35809 +42.46105           | 0.1|KIC 006932990                 |19h05m25.94s|+42d27m39.7s|G     |  0.027879|Sy 1                                    
