UGC_03465|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0622.8+5229:S:UBVR:f2000.fits.gz']
KK_2852|[]
ESO_576-_G_064|[]
ESO_264-_G_032|[]
ESO_505-_G_029|[]
UGC_11217|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/18/CGCG_1820.9+4805:S:UBVR:f2000.fits.gz']
UGC_11444|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_1926.9+5247:S:UBVR:f2000.fits.gz']
CGCG_185-068|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1124.8+3619:S:UBVR:f2000.fits.gz']
2MASX_J14160456-4807385|[]
NGC_6076_NED01|[]
CGCG_225-025|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1659.3+3939:S:UBVR:f2000.fits.gz']
ARK_525|[]
UGC_12383|[]
PRC_C-17|[]
UGC_03057|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0426.3+7628:S:UBVR:f2000.fits.gz']
UGC_05530|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/10/CGCG_1012.5+6610:S:UBVR:f2000.fits.gz']
ABELL_S0753:[WFC91]_039|[]
WKK_3959|[]
WKK_6221|[]
MRK_0885|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1629.7+6730:S:UBVR:f2000.fits.gz']
UGC_11253|[]
CGCG_280-017|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1908.3+5250:S:UBVR:f2000.fits.gz']
MRK_0916|[]
UGC_12138|[]
UGC_12421|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_2310.4+7719:S:UBVR:f2000.fits.gz']
CGCG_466-008|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0400.0+2120:S:UBVR:f2000.fits.gz']
UGC_04665|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/08/CGCG_0851.6+6828:S:UBVR:f2000.fits.gz']
CGCG_454-069|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2325.6+1815:S:UBVR:f2000.fits.gz']
UGC_12739|[]
CGCG_539-042|[]
CGCG_310-055|[]
MCG_-02-33-091|[]
UGC_10042|[]
ESO_286-_G_080|[]
CGCG_476-095|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2336.2+2656:S:UBVR:f2000.fits.gz']
NGC_2710|[]
UGC_06081_NED02|[]
CGCG_335-032|[]
WKK_3456|[]
CGCG_251-036|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1637.2+4914:S:UBVR:f2000.fits.gz']
ESO_463-_G_014|[]
UGC_02653|[]
B3_0317+428|[]
CGCG_054-017|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1714.3+0815:S:UBVR:f2000.fits.gz']
IC_1322|[]
2MASX_J01125179-6139513|['http://ned.ipac.caltech.edu/spc1/2003/20032dF...C...0000C/113/2dFGRS_S902Z572:S:OPT:c2003.fits.gz']
ESO_267-_G_016|[]
2MASX_J17074554-2503390|[]
CGCG_425-032|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/20/CGCG_2058.4+1307:S:UBVR:f2000.fits.gz']
