NGC_1532|[]
NGC_4429|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1003:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1003:S:FIR:b2008.fits.gz']
NGC_4976|[]
NGC_0185|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_0185:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_0185:S:FIR:b2008.fits.gz']
NGC_7217|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2205.6+3107:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_7217:S:FIR:b2008.fits.gz']
NGC_5746|[]
NGC_3675|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1123.4+4352:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3675:S:B:hbc1980.fits.gz']
NGC_5866|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_5866:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5866:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5866:S:FIR:b2008.fits.gz']
NGC_6300|[]
NGC_4125|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4125:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4125:S:FIR:b2008.fits.gz']
NGC_5363|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1353.6+0530:S:UBVR:f2000.fits.gz']
MESSIER_061|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0508:S:BVR:gzs2004.fits.gz']
NGC_4414|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1224.0+3130:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4414:S:FIR:b2008.fits.gz']
NGC_2442|[]
MESSIER_098|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0092:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_0092:S:FIR:b2008.fits.gz']
NGC_4527|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1540:S:BVR:gzs2004.fits.gz']
NGC_1566|[]
NGC_0300|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_0300:S:FIR:b2008.fits.gz']
UGC_02855|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/UGC_02855:S:FIR:b2008.fits.gz']
MESSIER_099|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0307:S:BVR:gzs2004.fits.gz']
NGC_3607|[]
NGC_4274|[]
NGC_7213|[]
NGC_0488|[]
NGC_2146|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_2146:S:FIR:b2008.fits.gz']
MESSIER_109|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1155.0+5339:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3992:S:B:hbc1980.fits.gz']
NGC_2655|[]
NGC_2775|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_2775:S:UBVR:k1992.fits.gz']
NGC_4494|[]
